Portfolio,Owner,Instrument,Date,Price
BNP Paribas,Samsung,Bond,16/02/2018 16:52:51,17.52
State Bank of India,Samsung,Bond,28/02/2018 07:08:16,26.59
Fannie Mae,Google,CDS,13/08/2018 02:31:43,18.45
Finanz Informatik,SimCorp,Options,27/01/2018 07:35:07,539.84
Barclays,Samsung,Equity,17/08/2018 05:03:03,783.85
Bank of America,Apple,Deposit,06/11/2018 21:13:25,217.39
Fannie Mae,Google,Swap,06/06/2018 10:22:03,392.46
Deutsche Bank,Apple,Loan,20/03/2018 11:55:03,129.30
BNP Paribas,SimCorp,Futures,27/12/2018 06:40:37,14.88
BNP Paribas,Google,Futures,20/05/2018 08:49:45,132.40
UOB,Apple,Deposit,06/07/2018 14:44:35,100.61
State Bank of India,Google,Loan,13/06/2018 17:39:01,149.03
Deutsche Bank,Toyota,Equity,18/02/2018 13:38:57,487.67
Bank of America,Google,CDS,13/11/2018 01:35:57,232.43
Bank of America,Apple,Futures,03/02/2018 21:48:54,332.49
Deutsche Bank,Samsung,Equity,12/06/2018 02:48:45,946.01
State Bank of India,Samsung,Bond,04/10/2018 19:32:29,643.65
BNP Paribas,Toyota,Equity,12/02/2018 16:19:06,17.98
Deutsche Bank,Toyota,Swap,20/07/2018 19:55:11,7.97
Fannie Mae,Samsung,Bond,12/02/2018 18:03:36,192.34
Finanz Informatik,Microsoft,Deposit,25/07/2018 23:34:07,372.60
UOB,Toyota,CDS,27/03/2018 06:47:30,32.84
UOB,Amazon,Bond,06/09/2018 07:40:10,42.01
Bank of America,Toyota,Bond,10/09/2018 10:51:28,501.79
Fannie Mae,Samsung,Equity,17/09/2018 12:06:49,514.96
State Bank of India,SimCorp,Futures,13/09/2018 23:17:12,42.43
Finanz Informatik,Amazon,Futures,05/05/2018 02:36:03,199.61
Barclays,Microsoft,Deposit,02/05/2018 02:14:21,474.68
Fannie Mae,Samsung,Swap,20/07/2018 03:13:27,61.97
Fannie Mae,Walmart,Equity,13/01/2018 20:26:45,106.06
State Bank of India,Apple,Swap,23/08/2018 16:41:09,303.97
UOB,Ford,Bond,12/08/2018 11:25:51,277.03
UOB,Google,Deposit,11/06/2018 17:09:47,107.02
Bank of America,SimCorp,Deposit,23/07/2018 04:51:21,285.70
Barclays,Apple,Deposit,17/11/2018 06:33:33,96.82
Barclays,Walmart,Bond,19/06/2018 18:15:29,69.59
Bank of America,Ford,Equity,23/05/2018 07:06:33,47.45
Bank of America,Apple,Bond,19/08/2018 19:18:56,280.03
Fannie Mae,Walmart,Equity,24/11/2018 01:24:22,202.44
State Bank of India,Amazon,Bond,15/08/2018 12:50:29,109.68
BNP Paribas,Ford,CDS,12/05/2018 08:28:26,21.72
Barclays,Microsoft,Options,25/02/2018 22:46:21,719.76
State Bank of India,Toyota,CDS,11/10/2018 05:02:27,417.38
State Bank of India,Samsung,Swap,01/08/2018 05:50:46,28.84
Bank of America,Ford,Options,16/01/2018 14:49:54,255.27
Deutsche Bank,SimCorp,Swap,12/04/2018 09:19:58,502.67
Finanz Informatik,Apple,Loan,27/08/2018 16:26:56,293.90
BNP Paribas,Apple,Deposit,06/01/2018 22:11:40,101.75
Barclays,Google,CDS,12/07/2018 11:51:35,181.10
State Bank of India,Samsung,Deposit,05/04/2018 13:39:54,149.03
Fannie Mae,Samsung,Deposit,15/02/2018 17:37:55,67.47
Fannie Mae,Walmart,CDS,24/03/2018 05:20:47,42.46
UOB,Samsung,CDS,23/07/2018 05:14:37,121.68
Finanz Informatik,Microsoft,Options,19/04/2018 12:22:34,597.14
UOB,Ford,Options,12/10/2018 06:08:35,705.38
Fannie Mae,Samsung,CDS,04/08/2018 08:09:15,408.28
Bank of America,Ford,Bond,06/06/2018 22:03:26,118.21
UOB,Toyota,Deposit,18/07/2018 21:20:57,208.71
BNP Paribas,Walmart,Equity,13/11/2018 10:36:59,59.40
Finanz Informatik,Google,Loan,05/09/2018 20:51:06,83.08
Fannie Mae,Toyota,Bond,05/02/2018 11:04:07,312.78
State Bank of India,Google,Equity,07/10/2018 21:47:11,307.35
Finanz Informatik,Apple,Equity,27/03/2018 17:29:08,771.44
BNP Paribas,Microsoft,Futures,11/08/2018 09:36:07,308.00
Finanz Informatik,SimCorp,Bond,11/12/2018 05:59:31,73.85
BNP Paribas,Toyota,Bond,05/10/2018 04:28:50,154.21
State Bank of India,Ford,CDS,07/03/2018 17:48:32,75.21
Finanz Informatik,Toyota,Futures,12/12/2018 20:04:16,341.96
Deutsche Bank,Ford,CDS,21/02/2018 08:09:35,662.60
State Bank of India,Toyota,Swap,02/04/2018 10:45:48,133.33
Finanz Informatik,SimCorp,Equity,01/07/2018 09:14:09,504.83
BNP Paribas,Google,Swap,21/05/2018 23:13:38,158.83
Bank of America,Microsoft,Bond,27/02/2018 13:43:09,446.17
BNP Paribas,Microsoft,Options,12/03/2018 07:50:09,921.64
BNP Paribas,Ford,Equity,05/02/2018 16:45:34,33.75
Fannie Mae,Google,Loan,02/11/2018 04:22:58,85.15
Deutsche Bank,Apple,Equity,08/05/2018 20:42:48,324.10
Fannie Mae,Apple,Options,23/02/2018 14:03:01,504.11
UOB,Google,Options,22/11/2018 22:56:41,2.11
State Bank of India,Samsung,Options,20/08/2018 01:47:47,40.45
State Bank of India,Ford,Options,26/02/2018 04:34:10,317.37
BNP Paribas,Amazon,Swap,21/05/2018 12:32:20,19.57
State Bank of India,Apple,CDS,16/09/2018 07:32:57,249.56
UOB,Microsoft,Equity,08/09/2018 19:34:26,382.74
Finanz Informatik,Samsung,CDS,05/08/2018 13:54:13,663.87
Barclays,Amazon,Equity,13/06/2018 23:16:51,238.58
Bank of America,Walmart,CDS,19/03/2018 20:09:17,378.39
State Bank of India,Apple,Loan,28/12/2018 03:23:03,67.08
Finanz Informatik,Microsoft,Bond,09/04/2018 09:04:44,61.28
Bank of America,Toyota,Deposit,02/05/2018 18:06:24,84.63
Barclays,Walmart,Equity,08/12/2018 09:05:13,361.67
Bank of America,Google,Loan,08/07/2018 07:32:25,200.89
UOB,Amazon,Bond,10/10/2018 05:14:02,348.09
BNP Paribas,Ford,Bond,18/04/2018 18:12:07,278.06
Finanz Informatik,Samsung,Equity,19/11/2018 08:26:19,1.08
Fannie Mae,Toyota,Futures,15/08/2018 23:35:21,68.61
Fannie Mae,Apple,Loan,10/04/2018 15:09:01,105.79
BNP Paribas,Amazon,Futures,01/12/2018 22:11:09,528.89
UOB,Ford,Swap,01/03/2018 08:30:25,11.98
Fannie Mae,Samsung,Futures,22/12/2018 06:34:58,501.97
Fannie Mae,Amazon,Loan,19/07/2018 19:17:29,74.11
UOB,Amazon,Equity,10/08/2018 06:08:07,397.94
Fannie Mae,Toyota,Loan,10/04/2018 06:56:29,31.89
Finanz Informatik,Google,Options,23/01/2018 08:34:21,174.68
BNP Paribas,Apple,Deposit,24/03/2018 18:38:52,146.83
BNP Paribas,SimCorp,CDS,26/07/2018 12:11:03,354.52
UOB,Samsung,Loan,07/10/2018 14:51:09,119.12
Deutsche Bank,Samsung,Options,28/01/2018 04:56:06,821.70
Bank of America,Apple,Swap,21/08/2018 21:31:03,309.93
Fannie Mae,SimCorp,Bond,11/01/2018 06:44:57,70.51
State Bank of India,SimCorp,Bond,25/08/2018 07:50:39,297.34
Bank of America,Apple,Options,23/08/2018 19:54:37,432.41
BNP Paribas,Samsung,Swap,24/07/2018 04:41:33,40.45
Barclays,Ford,Equity,20/03/2018 03:02:17,527.44
BNP Paribas,Samsung,Futures,22/06/2018 02:58:27,375.23
Finanz Informatik,Google,Deposit,05/08/2018 03:32:32,148.24
Bank of America,Microsoft,Swap,10/10/2018 13:55:18,592.87
UOB,Walmart,Deposit,07/09/2018 06:19:32,694.90
Fannie Mae,Microsoft,Loan,12/02/2018 07:09:32,588.95
Bank of America,SimCorp,Options,23/01/2018 19:53:41,57.43
Fannie Mae,Toyota,Options,22/07/2018 17:18:10,20.05
UOB,Apple,Deposit,17/01/2018 10:58:50,349.39
Barclays,Amazon,Equity,04/05/2018 07:07:47,67.34
Finanz Informatik,Walmart,Futures,17/07/2018 11:43:45,452.20
State Bank of India,Ford,Equity,24/02/2018 14:43:30,244.82
UOB,Apple,Loan,22/01/2018 18:28:10,201.10
Bank of America,SimCorp,Loan,17/11/2018 04:33:14,232.69
Deutsche Bank,Google,Futures,03/09/2018 11:15:04,87.64
Bank of America,Walmart,Loan,19/06/2018 07:21:27,306.95
State Bank of India,Walmart,Loan,02/11/2018 12:41:15,657.10
BNP Paribas,SimCorp,Bond,21/04/2018 14:33:32,397.20
Bank of America,Amazon,CDS,26/11/2018 01:09:48,372.84
UOB,Apple,Futures,04/07/2018 03:52:38,96.55
UOB,Ford,Futures,15/11/2018 02:30:03,419.50
UOB,Samsung,Options,10/06/2018 14:55:27,102.37
Finanz Informatik,Samsung,Swap,24/04/2018 22:02:32,128.32
Deutsche Bank,Ford,Deposit,17/05/2018 13:56:46,112.81
Bank of America,Apple,Bond,15/03/2018 23:34:03,315.69
Fannie Mae,Amazon,CDS,07/08/2018 21:02:12,139.64
BNP Paribas,Ford,Deposit,09/02/2018 20:57:11,3.43
Deutsche Bank,Google,Bond,15/02/2018 07:50:44,698.28
Finanz Informatik,Ford,Loan,12/08/2018 07:12:14,666.20
Barclays,Toyota,Deposit,23/10/2018 13:13:53,92.08
BNP Paribas,Amazon,Equity,26/06/2018 01:21:38,656.33
BNP Paribas,Microsoft,Futures,07/02/2018 02:39:16,105.50
Deutsche Bank,Toyota,Bond,09/02/2018 21:23:19,84.87
BNP Paribas,Ford,Deposit,24/01/2018 23:48:52,273.41
State Bank of India,Walmart,Bond,20/02/2018 05:18:38,320.97
State Bank of India,Ford,Equity,01/11/2018 07:20:03,408.43
Deutsche Bank,Apple,Loan,26/02/2018 02:28:22,14.51
Fannie Mae,Toyota,Options,03/04/2018 03:38:53,98.40
Bank of America,Toyota,Deposit,02/07/2018 02:46:55,84.48
Deutsche Bank,Toyota,Deposit,22/09/2018 21:14:58,22.22
UOB,Ford,Loan,15/04/2018 04:24:51,160.99
Deutsche Bank,Amazon,Options,13/01/2018 21:15:49,778.92
Finanz Informatik,SimCorp,Loan,18/09/2018 11:01:53,80.22
UOB,Walmart,CDS,10/11/2018 16:24:32,141.72
Deutsche Bank,Ford,Bond,26/02/2018 05:11:44,11.60
Deutsche Bank,Amazon,Deposit,09/06/2018 06:36:38,218.65
Fannie Mae,SimCorp,Loan,03/08/2018 23:47:43,83.91
Barclays,Toyota,Deposit,04/03/2018 09:26:15,544.21
Finanz Informatik,Microsoft,CDS,15/09/2018 11:47:13,383.14
BNP Paribas,Toyota,Swap,22/12/2018 05:37:28,116.31
Barclays,SimCorp,Bond,12/06/2018 22:36:41,10.40
UOB,Amazon,Deposit,21/03/2018 20:52:37,255.76
Fannie Mae,Walmart,Equity,20/07/2018 17:48:50,81.13
UOB,Ford,Equity,01/11/2018 20:14:10,401.60
UOB,Apple,Swap,10/08/2018 17:55:44,174.42
Finanz Informatik,Ford,Loan,21/05/2018 20:17:28,211.63
Fannie Mae,Toyota,Loan,04/04/2018 20:07:59,557.23
Bank of America,Toyota,Loan,22/07/2018 03:38:31,155.22
UOB,Apple,Options,19/06/2018 19:37:50,243.66
Bank of America,Toyota,Futures,13/08/2018 03:50:38,33.47
Bank of America,Ford,Options,09/05/2018 14:38:48,281.76
Fannie Mae,Toyota,Equity,25/10/2018 02:10:46,427.09
Fannie Mae,Microsoft,Deposit,10/12/2018 20:20:45,262.83
Finanz Informatik,Apple,Swap,11/10/2018 20:30:16,60.63
Fannie Mae,Samsung,Equity,28/06/2018 18:32:36,34.87
State Bank of India,Apple,Swap,08/03/2018 08:04:34,308.82
Finanz Informatik,Samsung,CDS,11/12/2018 05:47:28,481.48
Bank of America,Ford,Options,06/07/2018 09:05:22,48.26
Finanz Informatik,Toyota,Bond,21/09/2018 05:02:48,0.14
UOB,Ford,Loan,23/10/2018 07:07:14,77.04
State Bank of India,Apple,Equity,23/09/2018 01:30:25,100.59
Fannie Mae,Toyota,Options,03/06/2018 13:49:01,887.54
Fannie Mae,Ford,Swap,07/05/2018 15:37:47,57.29
Finanz Informatik,Samsung,Equity,16/03/2018 07:32:23,711.23
Deutsche Bank,Walmart,Deposit,24/08/2018 03:22:49,659.73
Barclays,Apple,Swap,18/12/2018 01:05:51,237.87
Barclays,Toyota,CDS,17/01/2018 10:27:22,125.02
State Bank of India,SimCorp,Bond,13/07/2018 13:10:24,747.51
Finanz Informatik,Samsung,Bond,14/06/2018 05:51:17,96.83
Fannie Mae,Toyota,Swap,09/09/2018 01:57:46,341.96
Deutsche Bank,Ford,Swap,08/11/2018 23:59:28,472.10
UOB,Toyota,Loan,27/05/2018 14:37:10,81.23
Bank of America,Google,Deposit,19/04/2018 08:32:25,273.18
Bank of America,Amazon,Futures,12/02/2018 07:50:15,106.14
Fannie Mae,Amazon,Deposit,20/07/2018 12:20:33,112.94
Barclays,Samsung,Equity,25/07/2018 12:13:37,566.73
Barclays,Walmart,Loan,13/01/2018 11:16:16,197.88
UOB,Amazon,Swap,07/01/2018 04:23:17,653.02
State Bank of India,Ford,CDS,02/07/2018 20:12:51,141.35
BNP Paribas,Microsoft,Bond,02/03/2018 15:07:42,192.00
Finanz Informatik,Apple,Options,27/02/2018 01:49:08,17.74
Fannie Mae,Ford,Swap,28/01/2018 11:55:45,244.65
Finanz Informatik,Amazon,Bond,17/01/2018 13:20:44,2.89
BNP Paribas,Toyota,Equity,25/05/2018 21:22:32,10.30
BNP Paribas,Apple,Options,22/07/2018 04:15:58,81.10
Deutsche Bank,Amazon,CDS,27/06/2018 20:02:35,148.80
Deutsche Bank,Apple,Bond,18/09/2018 11:42:35,233.15
BNP Paribas,Amazon,Equity,18/12/2018 05:52:33,33.23
Finanz Informatik,Amazon,Futures,25/06/2018 17:58:47,140.44
State Bank of India,Toyota,Bond,11/02/2018 22:56:47,50.51
Barclays,Walmart,Deposit,13/02/2018 08:10:45,316.95
State Bank of India,SimCorp,Loan,04/01/2018 08:36:40,646.50
Barclays,Ford,Equity,06/03/2018 09:22:03,808.20
Finanz Informatik,Apple,CDS,01/12/2018 15:34:20,418.41
Bank of America,Microsoft,Swap,01/09/2018 10:27:01,614.64
Finanz Informatik,Microsoft,Swap,23/12/2018 13:32:37,6.40
State Bank of India,Google,Equity,14/02/2018 22:47:21,181.78
UOB,Microsoft,CDS,12/04/2018 07:57:26,525.56
State Bank of India,Amazon,Swap,10/07/2018 23:09:45,125.09
BNP Paribas,Ford,Loan,18/11/2018 10:04:48,95.22
Bank of America,Apple,Bond,08/07/2018 02:36:39,36.56
Bank of America,Apple,Futures,06/03/2018 14:09:36,299.81
UOB,Apple,Equity,11/06/2018 19:54:47,452.68
Fannie Mae,Google,Equity,05/01/2018 19:21:25,67.98
Barclays,SimCorp,Equity,27/08/2018 01:30:11,95.27
Finanz Informatik,SimCorp,Bond,10/09/2018 14:55:31,84.93
Fannie Mae,Samsung,Bond,10/07/2018 10:51:24,106.65
Fannie Mae,Toyota,Loan,04/07/2018 07:48:32,12.31
Finanz Informatik,Toyota,Bond,21/08/2018 18:08:34,235.04
State Bank of India,Samsung,Equity,04/10/2018 14:30:43,445.70
Fannie Mae,Apple,Equity,22/04/2018 13:07:30,170.49
UOB,Amazon,Swap,06/10/2018 11:43:23,81.57
Finanz Informatik,Microsoft,CDS,15/06/2018 10:30:34,485.63
UOB,Apple,Equity,06/01/2018 05:33:47,233.25
Deutsche Bank,Walmart,Bond,23/08/2018 12:51:24,245.63
UOB,Google,Swap,07/09/2018 21:26:42,409.34
BNP Paribas,SimCorp,Bond,08/12/2018 17:09:56,332.64
State Bank of India,Ford,Options,27/07/2018 16:14:01,71.72
Bank of America,Google,Swap,21/09/2018 16:07:32,83.87
UOB,Samsung,Bond,06/06/2018 03:30:05,319.47
Finanz Informatik,Ford,Deposit,23/07/2018 21:36:24,68.23
Deutsche Bank,Amazon,Bond,23/09/2018 21:32:26,457.60
Bank of America,Walmart,Equity,08/04/2018 01:55:03,146.62
Fannie Mae,Google,CDS,20/07/2018 15:20:27,329.37
BNP Paribas,Toyota,Deposit,20/03/2018 08:48:16,765.39
Bank of America,Apple,Deposit,14/10/2018 17:45:30,235.86
State Bank of India,Walmart,Bond,12/11/2018 12:47:28,221.35
Bank of America,Apple,Options,16/05/2018 21:50:55,14.80
Fannie Mae,Walmart,Loan,10/02/2018 02:18:51,553.14
State Bank of India,Samsung,Equity,25/02/2018 12:41:54,77.16
Bank of America,Amazon,Equity,20/07/2018 11:33:28,229.09
State Bank of India,Samsung,Swap,15/05/2018 08:12:56,137.72
Fannie Mae,Ford,Futures,08/02/2018 17:56:23,224.75
Fannie Mae,Ford,Bond,12/05/2018 21:28:50,78.11
Bank of America,Samsung,CDS,02/06/2018 02:55:49,348.58
Finanz Informatik,Toyota,Loan,01/06/2018 14:56:06,374.79
Bank of America,Google,Swap,12/02/2018 23:42:32,249.27
UOB,Amazon,Options,23/09/2018 09:18:55,618.42
UOB,Google,Deposit,22/12/2018 11:34:39,12.80
State Bank of India,Amazon,Options,10/06/2018 09:53:29,301.27
Finanz Informatik,Amazon,Deposit,20/01/2018 22:13:41,9.57
Finanz Informatik,Apple,Bond,05/01/2018 10:25:57,446.76
Barclays,Apple,Equity,19/02/2018 11:47:07,391.22
Barclays,Samsung,Deposit,24/12/2018 10:15:44,167.45
Fannie Mae,Samsung,Bond,14/09/2018 22:19:31,227.54
State Bank of India,Ford,Bond,19/02/2018 07:13:44,262.74
Fannie Mae,Apple,Loan,06/03/2018 12:10:06,108.41
Fannie Mae,Toyota,CDS,20/08/2018 13:03:28,155.05
Fannie Mae,Microsoft,Deposit,15/05/2018 13:43:46,480.01
Fannie Mae,SimCorp,Futures,19/01/2018 04:32:49,179.12
UOB,Microsoft,Loan,23/07/2018 07:16:30,515.90
Finanz Informatik,Toyota,Bond,03/08/2018 21:16:58,81.48
UOB,Amazon,Deposit,15/08/2018 16:17:39,476.61
BNP Paribas,Microsoft,Swap,27/08/2018 22:57:17,548.03
Finanz Informatik,Microsoft,Futures,09/03/2018 11:24:46,187.53
State Bank of India,Walmart,Equity,06/11/2018 10:27:39,780.46
State Bank of India,Walmart,Options,04/10/2018 01:48:28,9.66
State Bank of India,Ford,Futures,11/06/2018 13:01:36,165.77
Finanz Informatik,SimCorp,CDS,19/02/2018 11:06:06,52.67
Barclays,Microsoft,Equity,08/06/2018 16:38:33,257.75
Deutsche Bank,Ford,Bond,25/10/2018 21:11:41,23.64
Barclays,Samsung,Loan,25/12/2018 12:54:29,320.02
State Bank of India,Toyota,Bond,20/02/2018 15:44:55,108.15
State Bank of India,SimCorp,Options,12/02/2018 08:24:55,139.17
Finanz Informatik,Amazon,Options,05/10/2018 15:01:15,178.65
UOB,Google,Futures,10/06/2018 22:53:01,457.10
Fannie Mae,Microsoft,Options,21/09/2018 22:19:11,26.46
BNP Paribas,Ford,Loan,11/05/2018 13:06:16,360.75
Deutsche Bank,SimCorp,Loan,27/05/2018 18:04:07,159.73
Barclays,Amazon,Deposit,17/12/2018 01:54:53,407.31
Finanz Informatik,Samsung,CDS,20/01/2018 18:54:59,8.89
UOB,Walmart,Bond,18/01/2018 16:54:06,39.44
State Bank of India,Google,Futures,04/02/2018 17:09:16,775.69
Deutsche Bank,Google,Equity,22/09/2018 19:50:21,332.35
UOB,Apple,Bond,18/12/2018 19:18:50,191.84
Fannie Mae,Samsung,Bond,10/01/2018 03:25:31,332.74
Bank of America,Walmart,Equity,05/09/2018 15:24:23,861.58
UOB,Walmart,Futures,05/08/2018 19:08:25,192.74
Barclays,Microsoft,Swap,07/11/2018 20:07:13,195.71
Barclays,Microsoft,Futures,16/09/2018 05:52:22,242.15
Barclays,Ford,Options,03/07/2018 14:26:31,95.13
State Bank of India,Apple,Bond,17/07/2018 07:44:17,505.03
Bank of America,Google,Bond,13/07/2018 12:06:38,195.84
State Bank of India,Toyota,Options,26/06/2018 12:43:22,30.41
Barclays,Walmart,Loan,20/10/2018 09:18:55,564.74
Barclays,Walmart,Swap,15/06/2018 06:54:02,54.66
Barclays,Samsung,Futures,17/11/2018 05:25:33,70.28
Bank of America,Amazon,Futures,27/10/2018 22:51:13,114.87
Fannie Mae,Google,Futures,15/10/2018 09:53:07,136.78
Bank of America,Toyota,Equity,06/03/2018 15:07:26,704.62
State Bank of India,Toyota,Loan,19/01/2018 02:08:03,122.70
Finanz Informatik,Toyota,Equity,11/01/2018 07:19:42,342.68
Finanz Informatik,Microsoft,Options,15/12/2018 21:08:13,113.98
UOB,Amazon,Swap,04/05/2018 11:53:24,249.99
Fannie Mae,Samsung,Options,10/05/2018 21:32:12,51.55
Finanz Informatik,Amazon,Bond,06/12/2018 15:10:22,781.51
State Bank of India,Ford,Futures,22/03/2018 22:42:46,442.47
Barclays,Ford,Options,28/12/2018 11:44:13,877.93
Finanz Informatik,Ford,Loan,01/10/2018 10:21:59,391.67
Finanz Informatik,SimCorp,Deposit,15/04/2018 08:27:21,104.90
Fannie Mae,Toyota,Equity,14/12/2018 10:48:09,259.39
State Bank of India,Ford,Deposit,12/12/2018 23:34:38,2.89
Bank of America,Toyota,Options,18/06/2018 21:04:17,97.58
BNP Paribas,Amazon,Options,12/03/2018 15:41:24,281.70
Bank of America,Google,Swap,16/06/2018 08:45:54,183.88
UOB,Samsung,Bond,22/03/2018 12:12:45,530.79
Finanz Informatik,SimCorp,CDS,20/05/2018 12:21:33,196.54
Finanz Informatik,Google,Loan,22/08/2018 09:43:05,422.99
Fannie Mae,Google,Loan,26/11/2018 05:17:24,350.69
Barclays,Ford,Bond,08/09/2018 02:28:39,421.60
State Bank of India,Google,Futures,07/02/2018 14:28:30,92.06
UOB,Google,Deposit,13/01/2018 05:11:51,189.00
Fannie Mae,Ford,Bond,11/08/2018 09:05:39,239.45
State Bank of India,Apple,Loan,09/12/2018 22:46:13,262.30
Deutsche Bank,Toyota,Swap,05/01/2018 07:07:05,239.07
State Bank of India,Walmart,Equity,22/04/2018 01:07:47,41.74
Bank of America,Samsung,Equity,14/09/2018 16:49:53,663.43
Barclays,Ford,Equity,22/02/2018 12:58:02,381.36
Finanz Informatik,Apple,Futures,23/04/2018 08:51:02,72.60
UOB,Ford,Futures,22/10/2018 22:37:16,52.40
Barclays,Microsoft,Loan,18/10/2018 22:24:05,313.85
BNP Paribas,Apple,Loan,17/09/2018 13:26:51,190.11
UOB,Samsung,CDS,19/06/2018 11:32:24,217.68
UOB,Toyota,Futures,17/12/2018 01:38:36,321.32
State Bank of India,Samsung,Futures,06/11/2018 18:38:44,576.63
Barclays,Toyota,Loan,18/06/2018 16:30:56,68.07
Barclays,Apple,CDS,13/09/2018 09:40:23,31.05
State Bank of India,Samsung,Equity,07/01/2018 02:18:52,59.57
UOB,Samsung,Equity,10/02/2018 03:22:58,211.46
Bank of America,Toyota,Futures,14/06/2018 21:06:48,311.00
BNP Paribas,Microsoft,CDS,10/08/2018 16:33:18,360.42
Finanz Informatik,Walmart,CDS,11/03/2018 14:49:33,128.69
State Bank of India,Toyota,Bond,01/03/2018 05:20:44,141.10
State Bank of India,SimCorp,Futures,24/05/2018 13:09:31,235.24
Bank of America,Apple,Deposit,16/09/2018 22:59:18,556.43
BNP Paribas,SimCorp,Futures,24/02/2018 10:13:28,70.46
Finanz Informatik,Samsung,CDS,18/11/2018 21:10:19,145.71
Barclays,Microsoft,CDS,22/09/2018 22:55:18,316.17
Fannie Mae,Apple,CDS,08/09/2018 10:03:22,125.96
Finanz Informatik,Toyota,Swap,09/08/2018 18:21:54,272.96
UOB,Toyota,Swap,12/04/2018 18:48:45,71.84
Barclays,Ford,Deposit,27/07/2018 08:09:01,292.53
UOB,Samsung,Deposit,13/12/2018 18:25:06,185.46
Bank of America,Apple,Equity,11/12/2018 13:08:24,49.60
Bank of America,Microsoft,Bond,27/08/2018 11:51:22,171.20
Bank of America,Amazon,Loan,23/11/2018 22:55:58,719.67
Finanz Informatik,Toyota,Loan,09/04/2018 11:42:52,536.15
Fannie Mae,Toyota,CDS,18/02/2018 13:46:06,74.56
State Bank of India,Apple,Loan,13/05/2018 06:42:20,110.18
Bank of America,Google,Options,05/09/2018 21:55:45,67.03
